"ID","Functionar","EMAIL","TIP MODIFICARE","TEXT","DATA"
"112","Admin","admin@webis.ro","modificare proiect","Modificare câmp ""id_domeniu"" din ""65"" în ""5"" pentru elementul cu id #65","12-08-2022 14:10:16"
"111","Admin","admin@webis.ro","modificare proiect","Modificare câmp ""mod_implicare_proiect"" din ""<p>Nu doresc sa ma implic in proiect. Exista suficienti angajati in primarie care au nevoie de putina miscare si aer curat pentru oxigenare.&nbsp;</p>"" în ""<p>Nu doresc sa ma implic in proiect. Exista suficienti angajati in primarie care au nevoie de putina miscare si aer curat pentru oxigenare.</p>"" pentru elementul cu id #65","12-08-2022 14:08:23"
"110","Admin","admin@webis.ro","modificare proiect","Modificare câmp ""id_domeniu"" din ""5"" în ""65"" pentru elementul cu id #65","12-08-2022 14:08:23"
"109","Admin","admin@webis.ro","modificare proiect","Modificare câmp ""id_domeniu"" din ""65"" în ""5"" pentru elementul cu id #65","12-08-2022 14:08:02"
"108","Admin","admin@webis.ro","modificare proiect","Modificare câmp ""mod_implicare_proiect"" din ""<p>Nu doresc sa ma implic in proiect. Exista suficienti angajati in primarie care au nevoie de putina miscare si aer curat pentru oxigenare.</p>"" în ""<p>Nu doresc sa ma implic in proiect. Exista suficienti angajati in primarie care au nevoie de putina miscare si aer curat pentru oxigenare.&nbsp;</p>"" pentru elementul cu id #65","12-08-2022 14:07:10"
"107","Admin","admin@webis.ro","modificare proiect","Modificare câmp ""id_domeniu"" din ""5"" în ""65"" pentru elementul cu id #65","12-08-2022 14:07:10"
"106","Admin","admin@webis.ro","modificare proiect","Modificare câmp ""durata_proiect"" din ""7"" în ""6"" pentru elementul cu id #65","12-08-2022 14:06:02"
"105","Admin","admin@webis.ro","modificare proiect","Modificare câmp ""id_domeniu"" din ""5"" în ""65"" pentru elementul cu id #65","12-08-2022 14:06:02"
"104","Admin","admin@webis.ro","modificare proiect","Modificare câmp ""durata_proiect"" din ""6"" în ""7"" pentru elementul cu id #65","12-08-2022 14:03:53"
"103","Admin","admin@webis.ro","modificare proiect","Modificare câmp ""id_domeniu"" din ""5"" în ""65"" pentru elementul cu id #65","12-08-2022 14:03:53"
"102","Admin","admin@webis.ro","modificare domeniu","Modificare câmp ""buget_estimat_proiect"" din ""150001"" în ""150000"" pentru elementul cu id #65","12-08-2022 14:00:47"
"100","functionar","functionar@webis.ro","modificare domeniu","Modificare câmp ""buget_estimat_proiect"" din ""150000"" în ""150001"" pentru elementul cu id #65","12-08-2022 13:59:17"
"97","Admin","admin@webis.ro","modificare pagina","Modificare câmp ""descriere_pagina"" din ""<h4>1. Cine poate participa?</h4><p>Pot participa la procesul de bugetare participativă cetățenii care locuiesc, muncesc sau studiază în Constanța și au împlinit vârsta de cel puțin 18 ani, precum și asociațiile și fundațiile cu sediul social în municipiul Constanța. <a href=""/register"">Primul pas este să îți creezi un cont de utilizator</a>.</p><h4>2. Care este valoarea maximă a fiecărui proiect depus?</h4><p>Valoarea estimată pentru un proiect depus trebuie să se încadreze în suma maximă de 500.000 de lei, inclusiv TVA. Bugetul total al campaniei este de 5.000.000 de lei pe an.</p><h4>3. Cum îmi creez un cont de utilizator pentru a putea participa?</h4><p>Accesează <a href=""/register"">pagina de înregistrare</a> și completează datele necesare. Validează-ți adresa de email și apoi vei putea introduce datele personale necesare participării, conform regulamentului. După ce le introduci, un angajat al primăriei le va verifica și dacă totul este în regulă, contul va deveni validat și poți participa la procesul de bugetare participativă.</p><h4>4. De ce contul meu apare ca fiind “Cont nevalidat?”</h4><p>Conturile nou-create au temporar statutul de “Cont nevalidat” până când un angajat al primăriei verifică datele și documentele introduse în vederea participării. Poți participa la procesul de bugetare participativă doar după ce contul a fost validat. În mod normal, validarea este făcută în aceeași zi lucrătoare, dar poate dura câteva zile în funcție de numărul de solicitări.</p><h4>5. Cum depun un proiect?</h4><p>Proiectele pot fi depuse în etapa de depunere a proiectelor, a cărei perioadă <a href=""/"">este afișată pe pagina principală a platformei</a>. Apasă pe butonul “Depune un proiect” și urmează pașii. Este necesar să ai un cont de utilizator creat și validat. Te sfătuim să te familiarizezi cu regulamentul campaniei pentru a crește șansele ca proiectul tău să fie eligibil.</p><h4>6. Cum votez un proiect?</h4><p><strong>Poți vota câte un singur proiect din fiecare domeniu/categorie.</strong> Pentru a vota, este necesar ca procesul să fie în etapa de votare a proiectelor (<a href=""/"">vezi etapa curentă și perioada tuturor etapelor pe pagina principală</a>). De asemenea, este necesar să ai un cont de utilizator creat și validat și să fii logat.</p><p>Dacă sunt îndeplinite condițiile de mai sus, intră pe<a href=""/proiecte""> “Vezi proiectele”</a>, alege domeniul de interes, consultă lista de proiecte din acel domeniu și votează proiectul preferat. Campania având 10 domenii, poți vota 10 proiecte, câte unul din fiecare domeniu.</p><h4>7. Câte proiecte câștigă în fiecare an?</h4><p>În fiecare an pot fi desemnate maxim 10 proiecte ca fiind câștigătoare (câte unul pentru fiecare domeniu/categorie).</p><h4>8. Care sunt domeniile/categoriile în care trebuie să se încadreze proiectele depuse?</h4><ul><li>a) <strong>Mobilitate, accesibilitate și siguranța circulației</strong> (amenajarea de trotuare, zone pietonale, fluidizarea traficului, crearea de infrastructură pentru siguranța rutieră, creșterea gradului de accesibilitate pentru persoanele cu dizabilități, propuneri de zone cu restricții auto, piste de biciclete, sisteme de supraveghere video etc.);</li><li>b) <strong>Amenajare spații verzi și locuri de joacă </strong>(amenajarea, repararea, renovarea, înființarea acestora, întreținerea etc.);</li><li>c) <strong>Amenajare spații publice </strong>(mobilier urban, iluminat public, amenajarea de piațete etc.);</li><li>d) <strong>Cultură</strong> (punerea în siguranță, reabilitarea sau restaurarea unor monumente istorice sau a unor componente ale unor ansambluri de monumente istorice aflate în domeniul public sau privat al municipiului Constanța, evenimente culturale etc.);</li><li>e) <strong>Protecția mediului / protecția animalelor</strong>;</li><li>f) <strong>Digitalizare</strong> (proiectele SmartCity menite să crească gradul de utilizare a tehnologiilor în scopul îmbunătățirii calității vieții în municipiul Constanța)</li><li>g) <strong>Sport</strong>;</li><li>h) <strong>Social</strong>;</li><li>i) <strong>Educație</strong>;</li><li>j) <strong>Sănătate</strong>.</li></ul><h4>9. Pot depune mai multe proiecte?</h4><p>Fiecare persoană fizică sau juridică poate formula o singură propunere de proiect pentru fiecare dintre domeniile stabilite în <a href=""/pag/regulament"">regulament</a>.&nbsp;</p><h4>10. Care sunt criteriile de eligibilitate pentru proiecte?</h4><p>Pentru a fi eligibile, proiectele trebuie să fie de competența Primăriei Municipiului Constanța sau a instituțiilor subordonate Consiliului Local al Municipiului Constanță, să nu contravină reglementărilor regulamentului de desfășurare a campaniei sau a altor prevederi legale în vigoare și să îndeplinească următoarele criterii de eligibilitate:</p><ul><li>a) Să fie de interes local și să nu realizeze activități cu scop comercial, publicitar, de natură politică sau etnică;</li><li>b) Să fie sau să poată fi asimilate unei investiții aflate în competența mun. Constanța și care vizează un bun administrat de municipalitate;</li><li>c) Să nu fie incompatibile cu programe sau proiecte aflate în derulare;</li><li>d) Să nu intre în aria altor programe ale municipalității, cum sunt finanțările nerambursabile acordate organizațiilor neguvernamentale, conform prevederilor Legii nr. 350/2005 privind regimul finanțărilor nerambursabile din fonduri publice alocate pentru activități nonprofit de interes general;</li><li>e) Să nu genereze cheltuieli de funcționare semnificative după implementare (întreținere, plata unor drepturi de autor etc.);</li><li>f) Să respecte fișa de proiect;</li><li>g) Să se încadreze în bugetul maxim alocat unui proiect;</li><li>h) Să se încadreze în domeniile prevăzute în regulament.</li></ul><h4>11. Cine evaluează eligibilitatea proiectelor?</h4><p>Analiza și evaluarea proiectelor este făcută de către Comisia de evaluare și monitorizare e proiectelor. Această comisie este formată din 9 persoane, astfel:</p><ul><li>Trei reprezentanți ai aparatului de specialitate al Primarului sau ai instituțiilor subordonate Consiliului Local al Municipiului Constanța, desemnați prin dispoziție de primar (Adriana Stamat, George Nicolae, Raluca Georgescu);</li><li>Trei reprezentanți ai Consiliului Local al Municipiului Constanța, desemnați prin hotărâre de Consiliu (Florin Cocargeanu, Mihaela Andrei, Claudia Dobre);</li><li>Trei reprezentanți ai ONG-urilor, desemnați prin hotărâre de Consiliu (Elena Coandă, Valentin Ispas, Andrei Coșuleanu).</li></ul><h4>12. Pot depune contestație în legătură cu un proiect respins?</h4><p>Da. Respingerea unui proiect de către comisie se va motiva în scris, iar motivarea va fi făcută publică, împreuna cu lista proiectelor respinse, deponenții având posibilitatea de a depune contestații în scris (online pe <a href=""mailto:primarie@primaria-constanta.ro"">tudecizi@primaria-constanta.ro</a> sau la registratura primăriei). <strong>Poți găsi pe pagina </strong><a href=""/pag/descrierea-etapelor-campaniei""><strong>“Descriere a etapelor campaniei”</strong></a><strong> perioada exactă în care poți depune contestație pentru sesiunea în curs de desfășurare.</strong></p><h4>13. În cât timp vor fi implementate proiectele câștigătoare?</h4><p>Durata maximă de implementare pentru proiectele declarate câștigătoare este de cel mult 24 de luni.</p><h4>14. Accesul la proces poate fi și fizic, fără a folosi platforma online?</h4><p>Deși încurajăm folosirea platformei dedicate pentru participarea la procesul de bugetare participativă, aceasta nu este o condiție. Te poți prezenta la registratura primăriei unde poți depune fizic o fișă de participare / depunere proiect.&nbsp;</p><h4>15. Ce se întâmplă dacă două sau mai multe proiecte au același număr de voturi la finalul etapei de votare?</h4><p>În situația rară în care două sau mai multe proiecte din același domeniu au același număr de voturi la finalul etapei de votare, comisia va decide proiectul care va fi implementat în funcție de oportunitate. Decizia va fi motivată în scris.</p><h4>16. De ce nu apare butonul pentru propunerea de proiecte?</h4><p>Pentru a fi cât mai ușor de folosit, platforma “Tu decizi pentru Constanța!” se ajustează dinamic în funcție de etapa în care sesiunea anuală se află. Butonul “Propune proiecte” nu este afișat în alte etape în afară de etapa propunerii de proiecte. Consultă calendarul și etapa în care campania se află în acest moment <a href=""/"">pe prima pagină</a>.</p><h4>17. Pot vedea numărul de voturi în timp real?</h4><p>Rezultatele (inclusiv numărul de voturi pentru fiecare proiect) vor fi publicate doar în etapa de afișare a rezultatelor. Vezi <a href=""/"">pe prima pagină a platformei</a> perioada acestei etape.</p><h4>18. Ce informații vor fi publicate pe pagina fiecărui proiect?</h4><p>Pagina fiecărui proiect propus (fie că este validat, fie că este respins) va conține informațiile oferite în formularul de depunere a proiectelor, anume:</p><ul><li>denumirea proiectului;</li><li>domeniul în care se încadrează;</li><li>descrierea proiectului;</li><li>beneficiile acestuia;</li><li>acțiunile necesare pentru implementare;</li><li>localizarea geografică a proiectului, dacă este cazul;</li><li>modul declarat de implicare al persoanei care a propus proiectul;</li><li>documentele atașate proiectului;</li><li>numele inițiatorului;</li><li>data înregistrării propunerii;</li><li>durata de implementare și bugetul estimat.</li></ul><p>Proiectele respinse de Comisie vor conține și motivul respingerii.</p><p>Vor fi afișate doar informațiile oferite în formularul de depunere proiect, nu și datele personale oferite în momentul înregistrării contului de utilizator.&nbsp;</p><h4>19. Primesc bani sau particip cu o co-finanțare dacă înscriu o idee pe platformă?</h4><p>Bugetarea participativă nu presupune nici alocarea de fonduri pentru cetățeni și nici sistem de co-finanțare. Constănțenii propun o idee, aceasta este analizată din punct de vedere tehnic de către Comisia dedicată și dacă proiectul respectă regulamentul, acesta va intra în etapa de vot. În situația în care este desemnat câștigător, Primăria se va ocupa direct de implementarea acestuia. Persoana care a propus proiectul se poate implica în procesul de implementare.</p><h4>20. Proiectul meu din actuala sesiune nu este afișat pe platformă nici la “Proiecte eligibile” și nici la “Proiecte respinse”. De ce?</h4><p>Proiectele vor fi afișate/publicate doar în perioada etapei de analiză a proiectelor (calendarul general este afișat <a href=""/"">pe prima pagină</a>). Există posibilitatea ca proiectele să fie afișate gradual în această etapă, pe măsură ce comisia le evaluează. Absolut toate proiectele depuse vor fi marcate ca fiind eligibile sau respinse, iar deponentul va fi înștiințat automat pe adresa de email introdusă în momentul creării contului. Te sfătuim să verifici inclusiv căsuța de Spam. Dacă proiectul tău este respins, poți depune contestație conform regulamentului (vezi întrebarea nr. 12 de mai sus) sau consultă <a href=""/pag/regulament"">regulamentul complet</a>.</p><p>Proiectele eligibile și cele respinse sunt publicate pe pagina dedicată proiectelor (""<a href=""/proiecte"">Vezi proiectele</a>"" în meniul principal) &gt; Alege un domeniu &gt; în dreapta sus există 2 butoane pentru a consulta lista de proiecte eligibile sau lista de proiecte respinse din sesiunea anuală în curs de desfășurare.</p><h4>Nu ai găsit răspunsul pe care îl căutai?</h4><p>În situația în care nu ai găsit lămuririle pe care le căutai, îți punem la dispoziție următoarele resurse:</p><ul><li><a href=""/pag/regulament"">Consultă aici regulamentul complet al campaniei</a></li><li><a href=""http://primaria-constanta.ro/DownloadFileDatabase.aspx?atasamentID=629BCEEA-DB0B-4A31-9581-4338D1D16CDC&amp;semnat=false&amp;tip=2&amp;anul=2021"">Descarcă Hotărârea de Consiliu Local</a> aferentă bugetării participative (conține detalii complete ale implementării)</li><li>Trimite-ne întrebarea ta specifică pe <a href=""mailto:tudecizi@primaria-constanta.ro"">tudecizi@primaria-constanta.ro</a>&nbsp;</li></ul>"" în ""<h4>1. Cine poate participa?</h4><p>Pot participa la procesul de bugetare participativă cetățenii care locuiesc, muncesc sau studiază în Constanța și au împlinit vârsta de cel puțin 18 ani, precum și asociațiile și fundațiile cu sediul social în municipiul Constanța. <a href=""/register"">Primul pas este să îți creezi un cont de utilizator</a>.</p><h4>2. Care este valoarea maximă a fiecărui proiect depus?</h4><p>Valoarea estimată pentru un proiect depus trebuie să se încadreze în suma maximă de 500.000 de lei, inclusiv TVA. Bugetul total al campaniei este de 5.000.000 de lei pe an.</p><h4>3. Cum îmi creez un cont de utilizator pentru a putea participa?</h4><p>Accesează <a href=""/register"">pagina de înregistrare</a> și completează datele necesare. Validează-ți adresa de email și apoi vei putea introduce datele personale necesare participării, conform regulamentului. După ce le introduci, un angajat al primăriei le va verifica și dacă totul este în regulă, contul va deveni validat și poți participa la procesul de bugetare participativă.</p><h4>4. De ce contul meu apare ca fiind “Cont nevalidat?”</h4><p>Conturile nou-create au temporar statutul de “Cont nevalidat” până când un angajat al primăriei verifică datele și documentele introduse în vederea participării. Poți participa la procesul de bugetare participativă doar după ce contul a fost validat. În mod normal, validarea este făcută în aceeași zi lucrătoare, dar poate dura câteva zile în funcție de numărul de solicitări.</p><h4>5. Cum depun un proiect?</h4><p>Proiectele pot fi depuse în etapa de depunere a proiectelor, a cărei perioadă <a href=""/"">este afișată pe pagina principală a platformei</a>. Apasă pe butonul “Depune un proiect” și urmează pașii. Este necesar să ai un cont de utilizator creat și validat. Te sfătuim să te familiarizezi cu regulamentul campaniei pentru a crește șansele ca proiectul tău să fie eligibil.</p><h4>6. Cum votez un proiect?</h4><p><strong>Poți vota câte un singur proiect din fiecare domeniu/categorie.</strong> Pentru a vota, este necesar ca procesul să fie în etapa de votare a proiectelor (<a href=""/"">vezi etapa curentă și perioada tuturor etapelor pe pagina principală</a>). De asemenea, este necesar să ai un cont de utilizator creat și validat și să fii logat.</p><p>Dacă sunt îndeplinite condițiile de mai sus, intră pe<a href=""/proiecte""> “Vezi proiectele”</a>, alege domeniul de interes, consultă lista de proiecte din acel domeniu și votează proiectul preferat. Campania având 10 domenii, poți vota 10 proiecte, câte unul din fiecare domeniu.</p><h4>7. Câte proiecte câștigă în fiecare an?</h4><p>În fiecare an pot fi desemnate maxim 10 proiecte ca fiind câștigătoare (câte unul pentru fiecare domeniu/categorie).</p><h4>8. Care sunt domeniile/categoriile în care trebuie să se încadreze proiectele depuse?</h4><ul><li>a) <strong>Mobilitate, accesibilitate și siguranța circulației</strong> (amenajarea de trotuare, zone pietonale, fluidizarea traficului, crearea de infrastructură pentru siguranța rutieră, creșterea gradului de accesibilitate pentru persoanele cu dizabilități, propuneri de zone cu restricții auto, piste de biciclete, sisteme de supraveghere video etc.);</li><li>b) <strong>Amenajare spații verzi și locuri de joacă </strong>(amenajarea, repararea, renovarea, înființarea acestora, întreținerea etc.);</li><li>c) <strong>Amenajare spații publice </strong>(mobilier urban, iluminat public, amenajarea de piațete etc.);</li><li>d) <strong>Cultură</strong> (punerea în siguranță, reabilitarea sau restaurarea unor monumente istorice sau a unor componente ale unor ansambluri de monumente istorice aflate în domeniul public sau privat al municipiului Constanța, evenimente culturale etc.);</li><li>e) <strong>Protecția mediului / protecția animalelor</strong>;</li><li>f) <strong>Digitalizare</strong> (proiectele SmartCity menite să crească gradul de utilizare a tehnologiilor în scopul îmbunătățirii calității vieții în municipiul Constanța)</li><li>g) <strong>Sport</strong>;</li><li>h) <strong>Social</strong>;</li><li>i) <strong>Educație</strong>;</li><li>j) <strong>Sănătate</strong>.</li></ul><h4>9. Pot depune mai multe proiecte?</h4><p>Fiecare persoană fizică sau juridică poate formula o singură propunere de proiect pentru fiecare dintre domeniile stabilite în <a href=""/pag/regulament"">regulament</a>.&nbsp;</p><h4>10. Care sunt criteriile de eligibilitate pentru proiecte?</h4><p>Pentru a fi eligibile, proiectele trebuie să fie de competența Primăriei Municipiului Constanța sau a instituțiilor subordonate Consiliului Local al Municipiului Constanță, să nu contravină reglementărilor regulamentului de desfășurare a campaniei sau a altor prevederi legale în vigoare și să îndeplinească următoarele criterii de eligibilitate:</p><ul><li>a) Să fie de interes local și să nu realizeze activități cu scop comercial, publicitar, de natură politică sau etnică;</li><li>b) Să fie sau să poată fi asimilate unei investiții aflate în competența mun. Constanța și care vizează un bun administrat de municipalitate;</li><li>c) Să nu fie incompatibile cu programe sau proiecte aflate în derulare;</li><li>d) Să nu intre în aria altor programe ale municipalității, cum sunt finanțările nerambursabile acordate organizațiilor neguvernamentale, conform prevederilor Legii nr. 350/2005 privind regimul finanțărilor nerambursabile din fonduri publice alocate pentru activități nonprofit de interes general;</li><li>e) Să nu genereze cheltuieli de funcționare semnificative după implementare (întreținere, plata unor drepturi de autor etc.);</li><li>f) Să respecte fișa de proiect;</li><li>g) Să se încadreze în bugetul maxim alocat unui proiect;</li><li>h) Să se încadreze în domeniile prevăzute în regulament.</li></ul><h4>11. Cine evaluează eligibilitatea proiectelor?</h4><p>Analiza și evaluarea proiectelor este făcută de către Comisia de evaluare și monitorizare e proiectelor. Această comisie este formată din 9 persoane, astfel:</p><ul><li>Trei reprezentanți ai aparatului de specialitate al Primarului sau ai instituțiilor subordonate Consiliului Local al Municipiului Constanța, desemnați prin dispoziție de primar (Adriana Stamat, George Nicolae, Raluca Georgescu);</li><li>Trei reprezentanți ai Consiliului Local al Municipiului Constanța, desemnați prin hotărâre de Consiliu (Florin Cocargeanu, Mihaela Andrei, Claudia Dobre);</li><li>Trei reprezentanți ai ONG-urilor, desemnați prin hotărâre de Consiliu (Elena Coandă, Valentin Ispas, Andrei Coșuleanu).</li></ul><h4>12. Pot depune contestație în legătură cu un proiect respins?</h4><p>Da. Respingerea unui proiect de către comisie se va motiva în scris, iar motivarea va fi făcută publică, împreuna cu lista proiectelor respinse, deponenții având posibilitatea de a depune contestații în scris (online pe <a href=""mailto:primarie@primaria-constanta.ro"">tudecizi@primaria-constanta.ro</a> sau la registratura primăriei). <strong>Poți găsi pe pagina </strong><a href=""/pag/descrierea-etapelor-campaniei""><strong>“Descriere a etapelor campaniei”</strong></a><strong> perioada exactă în care poți depune contestație pentru sesiunea în curs de desfășurare.</strong></p><h4>13. În cât timp vor fi implementate proiectele câștigătoare?</h4><p>Durata maximă de implementare pentru proiectele declarate câștigătoare este de cel mult 24 de luni.</p><h4>14. Accesul la proces poate fi și fizic, fără a folosi platforma online?</h4><p>Deși încurajăm folosirea platformei dedicate pentru participarea la procesul de bugetare participativă, aceasta nu este o condiție. Te poți prezenta la registratura primăriei unde poți depune fizic o fișă de participare / depunere proiect.&nbsp;</p><h4>15. Ce se întâmplă dacă două sau mai multe proiecte au același număr de voturi la finalul etapei de votare?</h4><p>În situația rară în care două sau mai multe proiecte din același domeniu au același număr de voturi la finalul etapei de votare, comisia va decide proiectul care va fi implementat în funcție de oportunitate. Decizia va fi motivată în scris.</p><h4>16. De ce nu apare butonul pentru propunerea de proiecte?</h4><p>Pentru a fi cât mai ușor de folosit, platforma “Tu decizi pentru Constanța!” se ajustează dinamic în funcție de etapa în care sesiunea anuală se află. Butonul “Propune proiecte” nu este afișat în alte etape în afară de etapa propunerii de proiecte. Consultă calendarul și etapa în care campania se află în acest moment <a href=""/"">pe prima pagină</a>.</p><h4>17. Pot vedea numărul de voturi în timp real?</h4><p>Rezultatele (inclusiv numărul de voturi pentru fiecare proiect) vor fi publicate doar în etapa de afișare a rezultatelor. Vezi <a href=""/"">pe prima pagină a platformei</a> perioada acestei etape.</p><h4>18. Ce informații vor fi publicate pe pagina fiecărui proiect?</h4><p>Pagina fiecărui proiect propus (fie că este validat, fie că este respins) va conține informațiile oferite în formularul de depunere a proiectelor, anume:</p><ul><li>denumirea proiectului;</li><li>domeniul în care se încadrează;</li><li>descrierea proiectului;</li><li>beneficiile acestuia;</li><li>acțiunile necesare pentru implementare;</li><li>localizarea geografică a proiectului, dacă este cazul;</li><li>modul declarat de implicare al persoanei care a propus proiectul;</li><li>documentele atașate proiectului;</li><li>numele inițiatorului;</li><li>data înregistrării propunerii;</li><li>durata de implementare și bugetul estimat.</li></ul><p>Proiectele respinse de Comisie vor conține și motivul respingerii.</p><p>Vor fi afișate doar informațiile oferite în formularul de depunere proiect, nu și datele personale oferite în momentul înregistrării contului de utilizator.&nbsp;</p><h4>19. Primesc bani sau particip cu o co-finanțare dacă înscriu o idee pe platformă?</h4><p>Bugetarea participativă nu presupune nici alocarea de fonduri pentru cetățeni și nici sistem de co-finanțare. Constănțenii propun o idee, aceasta este analizată din punct de vedere tehnic de către Comisia dedicată și dacă proiectul respectă regulamentul, acesta va intra în etapa de vot. În situația în care este desemnat câștigător, Primăria se va ocupa direct de implementarea acestuia. Persoana care a propus proiectul se poate implica în procesul de implementare.</p><h4>20. Proiectul meu din actuala sesiune nu este afișat pe platformă nici la “Proiecte eligibile” și nici la “Proiecte respinse”. De ce?</h4><p>Proiectele vor fi afișate/publicate doar în perioada etapei de analiză a proiectelor (calendarul complet este afișat pe pagina <a href=""/pag/descrierea-etapelor-campaniei"">“Descrierea etapelor campaniei”</a>). Există posibilitatea ca proiectele să fie afișate gradual în această etapă, pe măsură ce comisia le evaluează. Absolut toate proiectele depuse vor fi marcate ca fiind eligibile sau respinse, iar deponentul va fi înștiințat automat pe adresa de email introdusă în momentul creării contului. Te sfătuim să verifici inclusiv căsuța de Spam. Dacă proiectul tău este respins, poți depune contestație conform regulamentului (vezi întrebarea nr. 12 de mai sus sau consultă <a href=""/pag/regulament"">regulamentul complet</a>).</p><p>Proiectele eligibile și cele respinse sunt publicate pe pagina dedicată proiectelor (""<a href=""/proiecte"">Vezi proiectele</a>"" în meniul principal) &gt; Alege un domeniu &gt; în dreapta sus există 2 butoane pentru a consulta lista de proiecte eligibile sau lista de proiecte respinse din sesiunea anuală în curs de desfășurare.</p><h4>Nu ai găsit răspunsul pe care îl căutai?</h4><p>În situația în care nu ai găsit lămuririle pe care le căutai, îți punem la dispoziție următoarele resurse:</p><ul><li><a href=""/pag/regulament"">Consultă aici regulamentul complet al campaniei</a></li><li><a href=""http://primaria-constanta.ro/DownloadFileDatabase.aspx?atasamentID=629BCEEA-DB0B-4A31-9581-4338D1D16CDC&amp;semnat=false&amp;tip=2&amp;anul=2021"">Descarcă Hotărârea de Consiliu Local</a> aferentă bugetării participative (conține detalii complete ale implementării)</li><li>Trimite-ne întrebarea ta specifică pe <a href=""mailto:tudecizi@primaria-constanta.ro"">tudecizi@primaria-constanta.ro</a>&nbsp;</li></ul>"" pentru elementul cu id #25","12-08-2022 09:50:20"
